english,polish
people love people,ludzie kochaja ludzi
people love dogs,ludzie kochaja psy
people love cats,ludzie kochaja koty
people love food,ludzie kochaja jedzenie
people hate people,ludzie nienawidza ludzi
people hate dogs,ludzie nienawidza psow
people hate cats,ludzie nienawidza kotow
people hate food,ludzie nienawidza jedzenia
dogs love people,psy kochaja ludzi
dogs love dogs,psy kochaja psy
dogs love cats,psy kochaja koty
dogs love food,psy kochaja jedzenie
dogs hate people,psy nienawidza ludzi
dogs hate dogs,psy nienawidza psow
dogs hate cats,psy nienawidza kotow
dogs hate food,psy nienawidza jedzenia
cats love people,koty kochaja ludzi
cats love dogs,koty kochaja psy
cats love cats,koty kochaja koty
cats love food,koty kochaja jedzenie
cats hate people,koty nienawidza ludzi
cats hate dogs,koty nienawidza psow
cats hate cats,koty nienawidza kotow
cats hate food,koty nienawidza jedzenia
i love people,kocham ludzi
i love dogs,kocham psy
i love cats,kocham koty
i love food,kocham jedzenie
i hate people,nienawidze ludzi
i hate dogs,nienawidze psow
i hate cats,nienawidze kotow
i hate food,nienawidze jedzenia
you love people,kochasz ludzi
you love dogs,kochasz psy
you love cats,kochasz koty
you love food,kochasz jedzenie
you hate people,nienawidzisz ludzi
you hate dogs,nienawidzisz psow
you hate cats,nienawidzisz kotow
you hate food,nienawidzisz jedzenia
people are here,ludzie sa tutaj
people are good,ludzie sa dobrzy
dogs are here,psy sa tutaj
dogs are good,psy sa dobre
cats are here,koty sa tutaj
cats are good,koty sa dobre
cats are dogs,koty sa psami
dogs are cats,psy sa kotami
i am here,jestem tutaj
i am good,jestem dobry
you are here,jestes tutaj
you are good,jestes dobry
it is here,to jest tutaj
it is good,to jest dobre
it is food,to jest jedzenie
food is here,jedzenie jest tutaj
food is good,jedzenie jest dobre
here is food,tutaj jest jedzenie
it is cats,to sa koty
it is dogs,to sa psy
it is you,to ty
hello,czesc
good morning,dzien dobry
good afternoon,dzien dobry
thank you,dziekuje
how are you,jak sie masz
bye bye,pa pa
hello dogs,czesc psy
hello cats,czesc koty
hello people,czesc ludzie
thank you dogs,dziekuje psy
thank you cats,dziekuje koty
thank you people,dziekuje ludzie
you love me,kochasz mnie
i love you,kocham cie
dogs love you,psy kochaja cie
cats love you,koty kochaja cie
people love you,ludzie kochaja cie
cats hate you,koty nienawidza cie
dogs hate you,psy nienawidza cie
people hate you,ludzie nienawidza cie
i hate you,nienawidze cie
you hate me,nienawidzisz mnie
good dogs,dobre psy
good cats,dobre koty
good people,dobrzy ludzie
good food,dobre jedzenie
english,polish
children see birds,dzieci widza ptaki
children see horses,dzieci widza konie
children see cars,dzieci widza samochody
children like books,dzieci lubia ksiazki
children like water,dzieci lubia wode
teachers see children,nauczyciele widza dzieci
teachers like books,nauczyciele lubia ksiazki
teachers buy cars,nauczyciele kupuja samochody
boys buy books,chlopcy kupuja ksiazki
boys buy apples,chlopcy kupuja jablka
boys like horses,chlopcy lubia konie
girls see birds,dziewczyny widza ptaki
girls buy apples,dziewczyny kupuja jablka
girls like cats,dziewczyny lubia koty
i see birds,widze ptaki
you see horses,widzisz konie
we see cars,widzimy samochody
we buy books,kupujemy ksiazki
they buy apples,oni kupuja jablka
they like water,oni lubia wode
birds like water,ptaki lubia wode
horses drink water,konie pija wode
dogs drink water,psy pija wode
cats drink milk,koty pija mleko
children drink milk,dzieci pija mleko
i drink coffee,pije kawe
you drink tea,pijesz herbate
teachers drink coffee,nauczyciele pija kawe
we drink tea,pijemy herbate
boys do not like cats,chlopcy nie lubia kotow
girls do not like dogs,dziewczyny nie lubia psow
i do not like coffee,nie lubie kawy
you do not drink milk,nie pijesz mleka
they do not buy houses,oni nie kupuja domow
we do not see houses,nie widzimy domow
people buy houses,ludzie kupuja domy
horses are big,konie sa duze
birds are small,ptaki sa male
houses are big,domy sa duze
apples are green,jablka sa zielone
cars are fast,samochody sa szybkie
tea is hot,herbata jest goraca
coffee is hot,kawa jest goraca
water is cold,woda jest zimna
children see apples,dzieci widza jablka
teachers see cars,nauczyciele widza samochody
boys see birds,chlopcy widza ptaki
girls see horses,dziewczyny widza konie
birds see water,ptaki widza wode
cats see milk,koty widza mleko
dogs see water,psy widza wode
i see horses,widze konie
you see birds,widzisz ptaki
we see horses,widzimy konie
they see birds,oni widza ptaki
they see cars,oni widza samochody
teachers buy apples,nauczyciele kupuja jablka
children buy books,dzieci kupuja ksiazki
girls buy cars,dziewczyny kupuja samochody
boys buy cars,chlopcy kupuja samochody
they buy books,oni kupuja ksiazki
we buy apples,kupujemy jablka
teachers like water,nauczyciele lubia wode
boys like cars,chlopcy lubia samochody
boys like apples,chlopcy lubia jablka
girls like books,dziewczyny lubia ksiazki
girls like water,dziewczyny lubia wode
children like cats,dzieci lubia koty
children like dogs,dzieci lubia psy
cats like milk,koty lubia mleko
dogs like water,psy lubia wode
horses like water,konie lubia wode
they like books,oni lubia ksiazki
i like birds,lubie ptaki
i like apples,lubie jablka
teachers drink water,nauczyciele pija wode
boys drink water,chlopcy pija wode
girls drink milk,dziewczyny pija mleko
children drink water,dzieci pija wode
cats drink water,koty pija wode
i drink water,pije wode
i drink tea,pije herbate
you drink coffee,pijesz kawe
you drink water,pijesz wode
we drink coffee,pijemy kawe
we drink water,pijemy wode
they drink water,oni pija wode
they drink milk,oni pija mleko
they drink coffee,oni pija kawe
they drink tea,oni pija herbate
dogs are big,psy sa duze
cats are small,koty sa male
cars are big,samochody sa duze
cars are small,samochody sa male
houses are small,domy sa male
apples are small,jablka sa male
books are big,ksiazki sa duze
books are small,ksiazki sa male
birds are fast,ptaki sa szybkie
horses are fast,konie sa szybkie
dogs are fast,psy sa szybkie
cats are fast,koty sa szybkie
cars are green,samochody sa zielone
houses are green,domy sa zielone
birds are green,ptaki sa zielone
coffee is cold,kawa jest zimna
tea is cold,herbata jest zimna
boys do not like dogs,chlopcy nie lubia psow
girls do not like cats,dziewczyny nie lubia kotow
children do not drink coffee,dzieci nie pija kawy
teachers do not drink milk,nauczyciele nie pija mleka
i do not drink milk,nie pije mleka
they do not drink coffee,oni nie pija kawy
we do not drink coffee,nie pijemy kawy
we do not drink milk,nie pijemy mleka
teachers see horses,nauczyciele widza konie
children see dogs,dzieci widza psy
children see cats,dzieci widza koty
dogs see birds,psy widza ptaki
cats see birds,koty widza ptaki
i see apples,widze jablka
i see books,widze ksiazki
we see birds,widzimy ptaki
we see apples,widzimy jablka
they see horses,oni widza konie
they see apples,oni widza jablka
teachers buy books,nauczyciele kupuja ksiazki
we buy cars,kupujemy samochody